ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S95-A48,Supply_Water,Unknown,1,intl2,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A54,Supply_Water,Unknown,1,tnpA2,Test,18.05433366,-1,1,Pass,0.002436086,85.56303224,999,1
S95-A53,Supply_Water,Unknown,1,tnpA2,Test,18.13985409,-1,1,Pass,0.002436086,85.58320693,999,1
S95-A52,Supply_Water,Unknown,1,tnpA2,Test,17.89991483,-1,1,Pass,0.002436086,85.56922753,999,1
S95-A51,Supply_Water,Unknown,1,tet(36),Test,23.74646598,1.52E-07,1,Pass,0.002436086,80.98264263,999,1
S95-A50,Supply_Water,Unknown,1,tet(36),Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A49,Supply_Water,Unknown,1,tet(36),Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A60,Supply_Water,Unknown,1,intl3,Test,26.62300502,-1,0,Flag,0.002436086,999,999,0
S95-A59,Supply_Water,Unknown,1,intl3,Test,26.59388892,-1,1,Pass,0.002436086,88.94338307,999,1
S95-A58,Supply_Water,Unknown,1,intl3,Test,28.15439421,-1,0,Flag,0.002436086,999,999,0
S95-A57,Supply_Water,Unknown,1,aadD,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A56,Supply_Water,Unknown,1,aadD,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A55,Supply_Water,Unknown,1,aadD,Test,22.29492595,-1,1,Pass,0.002436086,83.08562584,999,1
S95-A66,Supply_Water,Unknown,1,tnpA5,Test,24.34205666,-1,1,Pass,0.002436086,79.92086188,999,1
S95-A65,Supply_Water,Unknown,1,tnpA5,Test,26.92967341,-1,1,Pass,0.002436086,80.73866624,999,1
S95-A64,Supply_Water,Unknown,1,tnpA5,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A63,Supply_Water,Unknown,1,erm(F),Test,23.24803498,7.85E-08,0.978693542,Pass,0.002436086,80.32206261,999,1
S95-A62,Supply_Water,Unknown,1,erm(F),Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A61,Supply_Water,Unknown,1,erm(F),Test,24.88363345,2.62E-08,1,Pass,0.002436086,80.59448225,999,1
S95-A72,Supply_Water,Unknown,1,erm(Q),Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A71,Supply_Water,Unknown,1,erm(Q),Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A70,Supply_Water,Unknown,1,erm(Q),Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A69,Supply_Water,Unknown,1,aadE,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A68,Supply_Water,Unknown,1,aadE,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A67,Supply_Water,Unknown,1,aadE,Test,21.60006139,-1,1,Pass,0.002436086,74.68482576,999,1
